strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
PV224-14021-472_LII_Chatham_NY_USA_Ixodes-scapularis_M_Drag_2014-11-25	14021-472		LII	Chatham_NY	New-York	USA	Ixodes-scapularis_M	Drag	2014-11-25	NYSDOH	Vogels et al.				
PV227-14087-111_LII_Montebello_NY_USA_Ixodes-scapularis_M_Drag_2014-11-04	14087-111		LII	Montebello_NY	New-York	USA	Ixodes-scapularis_M	Drag	2014-11-04	NYSDOH	Vogels et al.				
PV228-14105-140_LII_Mamakating_NY_USA_Ixodes-scapularis_M_Drag_2014-10-28	14105-140		LII	Mamakating_NY	New-York	USA	Ixodes-scapularis_M	Drag	2014-10-28	NYSDOH	Vogels et al.				
PV229-17091-15-003_LII_Stillwater_NY_USA_Ixodes-scapularis_M_Deer_2017-11-18	17091-15-003		LII	Stillwater_NY	New-York	USA	Ixodes-scapularis_M	Deer	2017-11-18	NYSDOH	Vogels et al.				
PV230-17105-109_LII_Mamakating_NY_USA_Ixodes-scapularis_F_Drag_2017-10-27	17105-109		LII	Mamakating_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-10-27	NYSDOH	Vogels et al.				
PV231-17119-29-002_LII_Pound-Ridge_NY_USA_Ixodes-scapularis_M_Deer_2017-11-13	17119-29-002_		LII	Pound-Ridge_NY	New-York	USA	Ixodes-scapularis_M	Deer	2017-11-13	NYSDOH	Vogels et al.				
PV232-18103-167-010_LII_Shelter-Island_NY_USA_Ixodes-scapularis_F_Deer_2018-11-01	18103-167-010		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_F	Deer	2018-11-01	NYSDOH	Vogels et al.				
PV233-18103-168-007_LII_Shelter-Island_NY_USA_Ixodes-scapularis_Unknown_Deer_2018-11-01	18103-168-007		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis	Deer	2018-11-01	NYSDOH	Vogels et al.				
PV234-18071-054_LII_Wallkill_NY_USA_Ixodes-scapularis_N_Drag_2018-11-06	18071-054		LII	Wallkill_NY	New-York	USA	Ixodes-scapularis_N	Drag	2018-11-06	NYSDOH	Vogels et al.				
PV235-18079-053_LII_Brewster_NY_USA_Ixodes-scapularis_N_Drag_2018-05-31	18079-053		LII	Brewster_NY	New-York	USA	Ixodes-scapularis_N	Drag	2018-05-31	NYSDOH	Vogels et al.				
PV236-18087-055_LII_Montebello_NY_USA_Ixodes-scapularis_N_Drag_2018-06-18	18087-055		LII	Montebello_NY	New-York	USA	Ixodes-scapularis_N	Drag	2018-06-18	NYSDOH	Vogels et al.				
PV237-18091-128_LII_Saratoga-Springs_NY_USA_Ixodes-scapularis_M_Drag_2018-06-27	18091-128		LII	Saratoga-Springs_NY	New-York	USA	Ixodes-scapularis_M	Drag	2018-06-27	NYSDOH	Vogels et al.				
PV239-18103-058_LII_Smithtown_NY_USA_Ixodes-scapularis_F_Drag_2018-02-27	18103-058		LII	Smithtown_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-02-27	NYSDOH	Vogels et al.				
PV240-18103-1315_LII_Huntington_NY_USA_Ixodes-scapularis_N_Drag_2018-06-07	18103-1315		LII	Huntington_NY	New-York	USA	Ixodes-scapularis_N	Drag	2018-06-07	NYSDOH	Vogels et al.				
PV241-18103-1419_LII_Smithtown_NY_USA_Ixodes-scapularis_N_Drag_2018-06-06	18103-1419		LII	Smithtown_NY	New-York	USA	Ixodes-scapularis_N	Drag	2018-06-06	NYSDOH	Vogels et al.				
PV242-18103-281_LII_East-Hampton_NY_USA_Ixodes-scapularis_N_Drag_2018-06-19	18103-281		LII	East-Hampton_NY	New-York	USA	Ixodes-scapularis_N	Drag	2018-06-19	NYSDOH	Vogels et al.				
PV243-17021-304_LII_Greenport_NY_USA_Ixodes-scapularis_F_Drag_2017-11-01	17021-304		LII	Greenport_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-11-01	NYSDOH	Vogels et al.				
PV244-17021-341_LII_Taghkanic_NY_USA_Ixodes-scapularis_F_Drag_2017-11-01	17021-341		LII	Taghkanic_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-11-01	NYSDOH	Vogels et al.				
